Month of Date,value,year
12/1/05,2671797,2005
11/1/05,2617333,2005
10/1/05,2770715,2005
9/1/05,2740553,2005
8/1/05,3195866,2005
7/1/05,3225769,2005
12/1/06,2698200,2006
11/1/06,2653887,2006
10/1/06,2834959,2006
9/1/06,2720100,2006
8/1/06,3143839,2006
7/1/06,3227605,2006
6/1/06,3071396,2006
5/1/06,2829000,2006
4/1/06,2773293,2006
3/1/06,2708778,2006
2/1/06,2223024,2006
1/1/06,2448889,2006
12/1/07,2903637,2007
11/1/07,2922500,2007
10/1/07,3129309,2007
9/1/07,2957530,2007
8/1/07,3436417,2007
7/1/07,3382382,2007
6/1/07,3263621,2007
5/1/07,3056934,2007
4/1/07,2869247,2007
3/1/07,2820085,2007
2/1/07,2304990,2007
1/1/07,2507430,2007
12/1/08,2962937,2008
11/1/08,2744485,2008
10/1/08,3124451,2008
9/1/08,3004720,2008
8/1/08,3612297,2008
7/1/08,3603946,2008
6/1/08,3453751,2008
5/1/08,3305954,2008
4/1/08,3029021,2008
3/1/08,3127387,2008
2/1/08,2595676,2008
1/1/08,2670053,2008
12/1/09,3074209,2009
11/1/09,2971484,2009
10/1/09,3249428,2009
9/1/09,3191526,2009
8/1/09,3650668,2009
7/1/09,3649702,2009
6/1/09,3419595,2009
5/1/09,3177100,2009
4/1/09,3024973,2009
3/1/09,2925918,2009
2/1/09,2359800,2009
1/1/09,2644539,2009
12/1/10,3167124,2010
11/1/10,3163659,2010
10/1/10,3490100,2010
9/1/10,3356365,2010
8/1/10,3771842,2010
7/1/10,3765824,2010
6/1/10,3612886,2010
5/1/10,3380355,2010
4/1/10,3139059,2010
3/1/10,3105958,2010
2/1/10,2515361,2010
1/1/10,2785466,2010
12/1/11,3441693,2011
11/1/11,3326859,2011
10/1/11,3602455,2011
9/1/11,3564970,2011
8/1/11,3917884,2011
7/1/11,3935589,2011
6/1/11,3766323,2011
5/1/11,3547804,2011
4/1/11,3200527,2011
3/1/11,3129205,2011
2/1/11,2610667,2011
1/1/11,2883810,2011
12/1/12,3443039,2012
11/1/12,3478890,2012
10/1/12,3844987,2012
9/1/12,3819379,2012
8/1/12,4356216,2012
7/1/12,4284443,2012
6/1/12,4107195,2012
5/1/12,3820570,2012
4/1/12,3563007,2012
3/1/12,3472440,2012
2/1/12,2998119,2012
1/1/12,3211600,2012
12/1/13,3814984,2013
11/1/13,3466878,2013
10/1/13,3910790,2013
9/1/13,3781168,2013
8/1/13,4347059,2013
7/1/13,4176486,2013
6/1/13,4146797,2013
5/1/13,3933016,2013
4/1/13,3604104,2013
3/1/13,3593364,2013
2/1/13,2966477,2013
1/1/13,3204637,2013
12/1/14,3855835,2014
11/1/14,3628786,2014
10/1/14,4059443,2014
9/1/14,3919072,2014
8/1/14,4524918,2014
7/1/14,4499221,2014
6/1/14,4321833,2014
5/1/14,4147096,2014
4/1/14,3881893,2014
3/1/14,3765504,2014
2/1/14,3078405,2014
1/1/14,3432625,2014
12/1/15,4129052,2015
11/1/15,4013814,2015
10/1/15,4374749,2015
9/1/15,4201394,2015
8/1/15,4796653,2015
7/1/15,4801148,2015
6/1/15,4558511,2015
5/1/15,4361140,2015
4/1/15,4021677,2015
3/1/15,4001521,2015
2/1/15,3248144,2015
1/1/15,3550084,2015
12/1/16,4343369,2016
11/1/16,4266481,2016
10/1/16,4571997,2016
9/1/16,4543759,2016
8/1/16,5110638,2016
7/1/16,5168724,2016
6/1/16,4922125,2016
5/1/16,4573996,2016
4/1/16,4172512,2016
3/1/16,4137679,2016
2/1/16,3543639,2016
1/1/16,3748529,2016
12/1/17,4660504,2017
11/1/17,4572702,2017
10/1/17,4868674,2017
9/1/17,4736005,2017
8/1/17,5516837,2017
7/1/17,5496516,2017
6/1/17,5134110,2017
5/1/17,4698067,2017
4/1/17,4425920,2017
3/1/17,4335287,2017
2/1/17,3481405,2017
1/1/17,3897685,2017
12/1/18,4576449,2018
11/1/18,4508606,2018
10/1/18,4861782,2018
9/1/18,4649100,2018
8/1/18,5545859,2018
7/1/18,5692572,2018
6/1/18,5427144,2018
5/1/18,5025595,2018
4/1/18,4713183,2018
3/1/18,4674035,2018
2/1/18,3882181,2018
1/1/18,4190367,2018
9/1/19,4471408,2019
8/1/19,5742437,2019
7/1/19,5612312,2019
6/1/19,5466688,2019
5/1/19,5008001,2019
4/1/19,4692941,2019
3/1/19,4599189,2019
2/1/19,3752763,2019
